Country,Police,Ambulance,Fire,One Number,International,Problem
Iceland,,,,112,,
India,100,102,101,,,
Indonesia,110,118/119,113,,,
Iran,110,115,125,,,
Iraq,,local numbers only,,,,
"Ireland, Republic of",,,,112/999,,
Isle of Man,,,,112/999,,
Israel,100,101,102,,,
Italy,113,118,115,112,,
Jamaica,119,110,110,,,
Japan,110,119,119,,,
Jersey,,,,999,,
Jordan,,,,911/112,,
Kazakhstan,102,103,101,112,,
Kenya,,,,999,,
Kiribati,,,,994,,
Kosovo,,,,911,,
"Korea, The Democratic People's Republic of (North Korea)",,,,119/112,,
"Korea, The Republic of (South Korea)",112,119,119,,,
Kuwait,,,,112,,
Kyrgyzstan,,,,103,,
Laos,,local numbers only,,,,
Latvia,2,3,1,112,,
Lebanon,112/999,140,175,,,
Lesotho,123/124,121,122,,,
Liberia,,,,911 mobile only,,
Libya,,,,193,,
Liechtenstein,,,,112,,
Lithuania,,,,112,,
Luxembourg,113,,,112,,
Macau,,,,999,,
"Macedonia, Republic of",192,194,193,112,,
Madagascar,117,,118,,,
Madeira,,,,112,,
Malawi,997,998,999,,,
Malaysia,,,,999/112,,
Maldives Republic,,,,102,,
Mali,18,15,17,,,
Malta,,,,112,,
Marianas Island,,,,911,,
Marshall Islands,625 8666,625 4111,,,,
Martinique,17,15,18,,,
Mauritania,117,,118,,,
Mauritius,,,,999,,
Mayotte,,,,15,,
Menorca,091,,,112,,
México,066,065,068,991,,
"Micronesia, Federated States of",,local numbers only,,,,
Moldavia,902,903,901,112,,
Monaco,,,,112,,
Mongolia,102,103,101,,,
Montenegro,122,124,123,112,,
Montserrat,999,911,,,,
Morocco,19,15,15,,,
Moyotte,,,,15,,
Mozambique,119,117,198,,,
Myanmar,,,,191,,
Namibia,1011,2032276,2032270,,,
Nauru,,local numbers only,,,,
Nepal,100/103,102,101,,,
Netherlands (Holland),,,,112,,
Netherlands Antilles,,,,112,,
New Caledonia,17,18,18,,,
New Zealand,,,,111,,
Nicaragua,,,,118,,
Niger,,local numbers only,,,,
Nigeria,,,,199,,
Niue,,,,999,,
Norfolk Island,977,911,955,,,
Northern Ireland,112,113,110,,,
Norway,112,113,110,,,
Oman,,,,999,,
Pakistan,15,115,16,,,
Palau,,,,911,,
Palestine,100,101,101,,,
Panama,,,,911,,
Papua New Guinea /Port Moresby,2,,1102,,,
Paraguay,,,,911,,
Peru,105,117,116,,,
Philippines,,,,117/911/112,,
Poland,997,999,998,112,,
Portugal,,,,112,,
Puerto Rico,,,,911,,
Qatar,,,,999,,
Réunion,17,15/112,18,,,
Romania,,,,112,,
Russia,,,,112,,
Russian Federation,02,03,01,911/112,,
Rwanda,,,,112,,
Sabah (Borneo),,,,999,,
Samoa,,,,999,,
San Marino,113,118,115,,,
São Tomé and Principe,,local numbers only,,,,
Saudi Arabia,999,997,998,,,
Scotland,,,,112/999,,
"Scilly, Isles of",,,,999,,
Senegal,,local numbers only,,,,
Serbia,192,194,193,112,,
Seychelles,,,,999,,
Sierra Leone,999,999,19,,,
Singapore,999,995,995,,,
Slovak Republic (Slovakia),158,155,150,112,,
Slovenia,113,,,112,,
Solomon Islands,,,,999,,
Somalia,,local numbers only,,,,
South Africa,10111,10177,10111,,,
South Africa (Cape Town),,,,107,,
"Srpska, Republic of",122,124,123,,,
Spain,,,,112,,
Sri Lanka,118/119,110,111,,,
St Eustatius,,,,140,,
St Eustatius,,,,911,,
St Helena,,,,911,,
St Kitts & Nevis,,,,911,,
St Lucia,,,,999/911,,
St Maarten,542-2111,542-2111,120,911,,
St Pierre & Miquelon,17,15,18,,,
St Vincent & the Grenadines,,,,999/911,,
Sudan,,,,999,,
Suriname,,,,115,,
Swaziland,,,,999,,
Sweden,,,,112,,
Switzerland,117,144,118,112,,
Syrian Arab Republic (Syria),112,110,113,,,
Tahiti - French Polynesia,,,,15,,
Taiwan (Republic of China),110,119,119,,,
Tajikistan,102,103,101,112,,
Tanzania,,,,112/999,,
Thailand,191,1669,199,,,
Tibet,110,120,,,,
Togo,,,,101,,
Tonga,,,,911,,
Trinidad & Tobago,999,990,990,,,
Tunisia,197,190,198,,,
Turkey,155,,110,112,,
Turkmenistan,,,,3,,
Turks and Caicos Islands,,,,999/911,,
Tuvalu/Ellice Is.,,,,911,,
Uganda,,,,112 mobile/999 fixed,,
Ukraine,,,,112,,
United Arab Emirates (Abu Dhabi),999/112,998/999,997,,,
United Kingdom,,,,112/999,,
United States,,,,911,,
Uruguay,,,,911,,
US Virgin Islands,,,,911,,
Uzbekistan,,,,3,,
Vanuatu,,,,112,,
Vatican City,113,118,115,,,
Venezuela,,,,171,,
Vietnam,113,115,114,,,
Western Sahara,,,,150,,
Western Samoa,,,,999,,
"Yemen, Republic of",194,191,191,,,
Zambia,,,,999/112,,
Zimbabwe,995,994,993,999,,
